,design,system design,development,analysis,concept design,knowledge engineering,processing,review,system integration,evaluation,product design,detailed,information search,product support,engine analysis,knowledge management,manufacturing,optimization,creation,check,reasoning,system specification,training,decision support,failure,acquisition,product data management,knowledge capture,link analysis,detailed design,inference,manufacture,knowledge interaction,navigation,semantic representation,information classification,data validation,knowledge based engineering,resource description,system identification,data storage,information sharing,knowledge classification,mission analysis,scheduling,access product design data,configuration management,certification,test report,data visualization,knowledge base building,feature processing,archive,preliminary design,solving,project planning,system synthesis,dissemination,knowledge storage,ontology modeling,flight test,express ontology,plm,failure management,ground test,disciplinary analysis,life cycle simulation,business process integration,knowledge exploration,design space visualization,product verification,general assembly,conceptual modelling,multidisciplinary modeling,problem solving,workflow management,knowledge discovery,ontological engineering,mdao,calculation report,customer service,automated reasoning,authoring,system arch,context inference,information clustering,flight test report,recycling,information push,tooling development,nation decision,manufacturing preparation,alm,share documents,analyzing,structural solver,generate fem model,crawling,summarizing,enterprise resource planning,mdo process formulation,design blueprint,physical sensing,semantic lexicon,airworthiness test,system architecting,design concepts formalization,convert file formats,digital mockup,issue tc pc ac certification,processe data,access,word,expert systems,api,product data management system,express application,share point,excel,google,matlab,protégé,data mining,catia,eclipse,reasoner,tr,java application,learning tools,file server,web server,outlook,workflow systems,wikipedia,solidworks,oracle,rce,optimus,modelcenter,python application,visualization package,cad programming interface,sas,sumo,tigl,brics,flops,aaa,isight,tixi,spss,openmdao,ceasiom,tornado,git,ideas,prado,cloud visualization,imagenet,triple store,ug,networkx,syndeia,jade,fortran application,oracle server,whatsopt,janus,multilinq,proteus,texttoonto,pykechain,semsearch,brics technology,saxon,fsms,cfview,vivisimo,solidedge,mopcssoviz,daedalus,kaon,davetools,pest,description,knowledge base,system definition,material,ontology,difficulty,knowledge graph,cad,section description,image,quantity,taxonomy,metadata,manufacturing method,video,cad representation,audio,measurement data,design parts,documents,business logic,animation,mind map,bom,forms,explicit geometry,word doc,object definitions,sysml model,process definitions,assemblies,freebase,capp,images,external web page,cfd simulation data,tooling parts,cfd code,lexical data,tools needed,babelnet,implicit geometry,live video,ikewiki,animations,sweetwiki,express,uml,python,aerospace ontology,sql,sysml,sparql,owl dl,vba,wordnet,nosql,cmdows,kadmos,postgresql,rds,bfo,openvsp,cypher,xquery,nasa taxonomy,codex,mdax,rvf,cco,vampzero,topic maps,fortan,dtad,multiwordnet,serql,addam,yawl,step,database,add,xml,owl,rdf,html,pdf,json,direct api,cpacs,ms word,iges,csv,vrml,soap,flash,ms excel,stl,dxf,jpeg,txt,mpeg,parasolid,acis,gif,igs,png,postscript,mov,jpg,dwf,flat file,jpgs,dwg,tiff,wmv,wav,wrp
sweetwiki,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
express,117,115,114,113,104,93,97,95,90,93,87,90,88,82,88,83,79,73,83,75,72,66,71,69,64,63,57,62,57,53,62,56,51,46,49,51,42,44,45,44,40,40,43,37,42,37,31,34,31,34,37,38,30,30,29,24,23,26,25,26,24,28,22,23,21,22,21,23,20,16,18,18,16,17,16,13,14,15,8,8,7,10,8,8,9,8,4,5,6,6,6,4,3,3,4,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,109,84,63,54,51,60,38,30,29,29,22,24,21,22,21,18,18,20,17,16,17,13,14,12,12,8,7,10,8,6,6,9,8,5,4,5,6,6,3,6,4,2,5,5,5,4,4,4,3,2,3,3,3,2,1,1,2,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,1,106,102,81,81,78,65,63,51,53,53,56,48,41,37,39,22,24,22,21,22,15,12,11,10,6,8,7,5,6,4,5,3,5,5,3,3,3,2,1,2,2,1,1,1,0,1,117,42,35,30,26,23,23,15,9,9,8,4,3,6,3,6,3,4,3,4,2,1,1,2,1,1,1,1,1,1,1,1,107,99,94,75,52,40,34,27,21,17,12,13,9,10,8,6,9,4,5,4,4,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
uml,52,51,51,51,46,42,41,43,44,39,38,40,41,34,39,34,38,30,35,31,38,36,29,36,27,31,26,28,26,25,29,29,23,20,26,21,22,25,19,19,20,20,18,16,18,17,17,16,19,13,18,16,13,14,12,14,9,14,14,14,8,11,14,10,10,12,12,10,13,7,10,8,6,9,4,5,5,6,1,4,5,5,3,3,4,3,3,2,3,4,2,2,1,1,1,1,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,51,39,30,26,25,22,16,18,11,11,12,8,13,11,11,11,11,11,6,6,11,3,8,9,6,3,1,5,4,2,2,1,5,4,1,2,1,4,3,0,2,1,1,2,4,0,1,2,1,1,1,2,1,1,1,0,1,0,1,2,0,1,0,0,1,0,1,0,0,1,1,0,0,48,44,35,38,39,27,25,26,24,24,19,22,20,19,14,10,9,13,9,10,8,5,4,3,3,2,4,5,6,4,3,1,3,1,1,0,2,0,0,0,2,0,0,1,0,1,42,52,12,11,8,19,11,9,4,6,1,1,1,3,1,3,2,2,0,1,1,0,0,1,0,1,0,0,1,0,1,0,47,41,38,37,28,21,16,12,6,11,5,5,7,4,5,3,2,0,4,3,1,1,1,4,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0
python,46,44,46,44,35,32,39,38,37,37,34,40,32,35,33,27,26,35,31,36,23,25,28,21,29,19,23,18,21,24,17,17,16,18,15,15,14,17,14,14,16,11,11,13,15,15,12,17,12,14,11,8,10,12,12,9,8,9,8,7,10,8,11,9,7,13,5,7,8,5,5,5,4,8,6,9,5,2,8,2,3,4,1,4,0,2,2,1,0,2,0,0,1,1,2,3,2,1,1,0,1,0,1,0,0,0,1,0,0,0,1,42,27,21,31,19,15,16,13,15,16,4,7,10,11,6,3,6,7,7,7,8,9,4,2,7,10,10,7,10,2,3,2,2,7,5,3,4,5,5,2,5,5,4,5,3,3,2,3,2,0,3,1,1,1,2,1,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,42,36,33,32,25,24,24,22,14,24,19,15,16,9,14,9,7,7,7,5,2,6,3,3,4,2,2,2,2,3,0,2,1,2,0,1,0,0,0,1,0,0,0,0,1,0,35,12,46,9,16,9,7,3,3,2,5,5,4,5,2,0,5,4,2,2,3,1,1,0,2,0,0,1,0,0,1,1,43,42,44,34,11,9,8,8,19,6,15,4,5,6,1,6,1,2,2,1,1,1,0,3,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
aerospace ontology,34,33,33,33,34,33,30,26,23,26,27,27,31,23,28,27,23,22,23,20,27,17,17,23,16,20,19,20,18,17,23,18,19,12,24,14,13,14,18,13,9,20,13,12,14,13,8,8,10,5,12,11,7,6,11,5,6,7,9,14,7,21,7,3,4,6,4,9,8,5,4,7,8,6,6,3,8,12,1,2,1,3,2,3,3,1,0,0,2,3,2,1,1,3,1,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,1,33,24,19,13,16,16,11,11,12,6,8,9,5,2,10,6,3,7,3,4,6,4,5,2,3,1,2,2,1,1,2,2,1,1,0,1,1,2,0,0,0,0,0,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,31,33,23,21,34,20,21,16,19,14,11,15,9,15,13,10,4,7,2,10,6,4,5,4,4,4,2,2,2,1,1,2,1,1,1,1,1,0,1,2,0,0,1,0,0,0,30,11,9,34,9,8,13,4,1,4,1,0,0,4,1,1,2,2,0,2,1,0,0,0,0,1,0,0,0,1,0,1,32,30,27,20,21,22,10,10,7,3,2,5,0,2,3,1,1,3,2,1,1,3,2,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1
sql,29,28,28,28,24,21,28,24,21,21,21,27,26,18,23,24,21,25,20,21,20,18,19,15,17,15,14,13,15,18,17,15,16,15,12,12,10,10,10,10,13,11,12,11,16,11,9,8,8,11,7,10,8,10,11,5,7,11,6,8,9,8,7,8,9,7,5,4,7,6,4,6,5,5,7,7,7,1,4,2,2,6,3,5,2,1,1,0,1,2,1,1,0,1,2,1,0,2,0,0,1,0,2,0,0,0,1,0,0,0,1,28,21,14,22,12,16,13,12,14,12,6,9,4,6,5,6,4,8,8,7,6,6,7,1,9,3,3,7,4,1,1,2,2,2,1,5,4,3,1,2,1,1,1,4,1,4,3,3,2,0,1,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24,26,22,22,19,21,15,14,14,17,14,14,12,6,10,6,4,6,5,9,4,1,3,2,1,3,2,2,0,2,2,3,0,0,0,1,1,1,0,1,1,1,0,1,0,1,26,8,16,9,29,5,10,4,4,3,6,1,0,6,3,2,3,3,2,3,1,0,0,0,1,0,1,1,0,0,1,0,27,29,29,24,9,12,12,11,10,8,4,4,1,4,1,4,1,2,1,0,1,1,2,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0
sysml,28,28,28,28,23,20,22,23,23,24,26,23,22,21,23,21,21,21,18,20,14,21,15,21,19,14,18,17,17,12,13,14,14,15,15,12,13,16,11,13,13,10,12,17,13,12,10,13,9,9,7,11,5,7,6,8,4,5,10,7,7,8,10,10,7,8,6,6,9,4,6,5,2,4,1,3,4,3,5,3,3,3,2,2,1,1,2,3,1,2,2,2,2,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,28,21,18,10,15,14,5,11,7,8,5,5,7,7,6,3,4,6,2,2,6,3,5,4,5,6,2,4,3,1,1,1,1,1,4,2,1,3,1,1,1,0,1,2,2,0,2,1,0,1,0,3,0,0,1,2,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,27,22,18,23,18,15,14,14,11,12,14,8,11,15,7,5,2,10,4,6,3,0,2,3,0,1,2,3,6,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,23,19,9,8,5,28,5,4,1,1,3,4,3,3,1,0,1,4,1,1,0,2,2,0,0,1,0,1,0,0,0,0,28,25,24,20,13,10,7,6,6,3,7,3,2,3,2,2,1,0,2,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sparql,26,25,26,24,26,26,23,19,20,18,15,20,24,13,22,21,17,16,21,16,22,12,14,14,9,14,11,15,18,13,22,10,16,9,17,13,10,11,12,10,9,14,12,8,7,9,7,3,10,6,10,14,9,6,4,2,4,8,6,9,4,12,4,4,6,6,2,6,7,6,4,2,4,3,3,5,9,3,1,2,3,4,4,4,6,1,1,0,2,3,2,0,1,2,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,25,19,15,15,9,12,10,6,10,3,7,7,2,4,16,6,3,8,2,3,2,5,5,2,2,0,1,0,1,0,1,0,5,1,0,0,1,0,0,0,0,0,0,2,0,0,3,2,2,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,24,26,22,15,26,12,19,9,15,13,11,14,17,6,9,5,5,8,4,7,4,2,1,2,1,1,3,0,1,0,1,2,0,0,0,0,2,0,1,1,2,0,0,1,0,1,23,11,7,13,10,5,26,9,2,6,1,0,0,5,0,4,0,3,1,0,0,0,0,1,0,0,0,1,1,1,0,1,21,24,21,19,24,23,10,11,8,5,1,1,1,3,1,3,0,0,1,0,1,0,3,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
owl dl,17,17,16,16,17,17,16,12,12,13,11,14,15,12,14,12,11,8,9,10,14,11,11,8,7,12,8,9,10,9,14,8,9,5,10,8,6,6,7,7,7,7,7,6,1,7,3,1,2,1,8,5,2,4,3,1,1,2,6,4,0,2,2,2,3,3,1,6,5,0,4,1,3,2,1,3,4,1,0,0,3,3,3,0,3,0,0,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,9,9,7,6,4,2,4,3,6,1,2,5,9,3,2,5,1,1,1,3,4,2,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,17,13,13,17,8,11,4,11,8,7,8,11,8,5,1,3,6,4,1,2,0,1,1,1,1,1,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,15,9,3,4,4,4,9,17,1,4,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,14,14,10,17,13,5,4,3,5,0,1,2,1,1,2,0,0,0,1,1,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
vba,12,12,11,11,11,9,9,12,10,9,10,12,10,10,9,10,10,12,9,12,6,6,9,6,8,10,5,6,7,8,6,7,4,6,2,7,8,8,3,7,4,4,6,6,6,4,6,6,3,4,3,4,6,6,5,2,5,6,4,2,4,2,5,3,4,2,3,5,1,1,3,3,3,2,1,2,1,0,1,1,2,1,2,1,2,0,0,1,2,3,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,12,9,7,9,5,6,5,8,3,8,3,2,5,2,1,3,6,2,4,4,5,2,4,4,3,0,0,1,2,1,1,1,2,0,0,2,4,0,0,2,0,1,1,0,1,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,11,10,10,8,5,9,6,8,7,7,8,4,4,5,4,2,5,2,6,5,4,2,1,4,4,2,3,2,0,3,1,1,2,0,0,1,1,1,0,1,1,0,0,1,0,1,9,4,3,1,4,1,2,1,12,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,12,11,8,3,2,3,4,0,2,1,4,2,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
wordnet,10,10,9,10,10,10,10,8,6,7,8,7,10,8,9,8,6,5,7,5,8,6,6,6,4,7,5,8,9,4,9,4,6,3,6,3,2,5,4,6,3,5,3,4,1,4,2,2,3,2,5,6,3,2,3,1,3,4,3,4,1,1,1,2,1,2,2,2,3,2,3,1,1,2,2,1,4,0,0,1,2,1,2,1,2,2,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,10,7,5,3,4,4,3,5,1,3,3,0,3,4,2,0,4,2,2,2,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,9,10,8,8,10,4,8,1,4,6,4,6,7,3,4,0,2,3,2,3,1,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,1,9,6,2,4,3,1,6,4,1,10,1,0,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,10,7,7,7,7,5,4,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nosql,9,9,9,9,7,6,9,8,7,9,6,6,7,6,8,7,7,8,9,5,6,4,5,5,7,5,5,4,4,5,5,5,4,6,3,1,3,3,2,5,5,3,3,5,4,5,3,3,2,4,3,2,2,4,4,4,1,3,4,1,4,0,4,5,2,2,1,2,2,1,2,2,2,2,2,1,2,0,2,1,1,3,0,0,0,0,2,1,0,1,1,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,6,3,5,4,6,4,3,5,5,0,3,1,2,2,0,0,1,2,1,2,1,3,1,2,1,2,3,1,1,0,1,0,0,1,2,2,1,0,2,1,0,0,2,0,2,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,6,8,5,6,4,6,5,7,4,4,2,1,5,3,1,2,1,3,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,5,1,6,3,1,1,1,1,9,1,0,3,1,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,9,9,9,8,3,2,2,4,4,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmdows,9,9,9,9,6,6,5,6,8,6,7,8,5,7,6,6,5,9,7,7,1,8,1,2,2,1,6,1,7,5,1,3,2,1,2,2,3,2,3,2,8,4,2,3,1,5,3,5,3,5,2,0,0,0,0,1,3,2,4,1,2,0,1,1,0,3,1,3,1,2,2,1,0,3,0,2,0,0,9,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,4,5,2,2,2,1,1,0,0,2,3,0,1,0,1,3,3,1,3,0,0,1,9,6,2,1,1,0,0,0,3,6,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,9,8,7,5,2,3,7,3,4,1,3,0,3,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,1,4,0,0,0,0,1,9,8,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,9,7,7,9,0,0,2,1,4,1,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kadmos,8,8,8,8,6,6,4,5,7,5,6,8,4,6,5,5,4,8,6,7,1,7,1,2,1,1,5,1,6,5,1,2,2,1,2,2,3,2,3,2,7,4,2,3,0,4,3,5,3,5,2,0,0,0,0,1,3,2,3,1,2,0,0,0,0,3,1,2,1,2,2,1,0,3,0,2,0,0,8,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,3,4,1,2,2,0,1,0,0,1,3,0,1,0,1,2,2,1,3,0,0,0,8,5,1,1,1,0,0,0,3,5,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,8,7,6,4,2,3,7,2,4,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,3,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,8,6,6,8,0,0,1,1,3,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postgresql,8,8,7,8,6,6,8,7,5,6,6,5,8,5,7,8,4,8,6,5,6,3,5,5,4,3,6,4,7,3,6,3,5,4,4,1,3,2,3,4,3,3,2,4,5,5,3,0,2,1,3,4,1,2,3,1,0,1,3,2,2,0,2,3,2,2,1,3,3,1,3,1,1,3,2,2,1,0,1,0,1,2,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,6,5,4,4,2,5,3,2,2,1,2,3,0,2,3,2,2,0,1,2,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,4,7,4,5,2,3,6,3,3,3,2,4,1,3,2,2,3,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,6,3,5,4,6,3,5,3,0,3,3,1,0,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,5,3,5,4,3,5,3,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rds,6,6,6,6,5,4,4,6,4,5,4,6,5,3,6,5,5,6,4,4,3,3,4,2,6,5,0,4,2,4,1,1,2,3,1,2,5,3,0,3,2,1,1,4,2,0,1,4,0,2,0,0,1,3,2,1,4,2,1,0,3,0,2,3,1,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,5,0,3,1,5,1,6,1,1,2,0,0,2,1,0,1,0,2,0,1,0,3,0,0,2,1,0,0,1,0,0,0,4,3,1,0,1,0,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,1,3,1,4,2,3,4,2,2,3,1,1,0,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,0,4,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,6,3,0,1,1,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bfo,6,6,6,6,6,6,5,6,4,5,5,3,5,4,5,5,5,4,5,4,6,4,5,5,3,3,4,5,6,3,5,1,3,1,2,5,1,3,3,4,2,3,5,2,2,3,1,0,4,0,2,3,3,3,1,1,4,3,1,2,1,1,0,1,1,1,1,1,1,0,3,0,4,2,1,3,1,1,0,0,1,1,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,6,2,4,3,2,0,2,0,4,3,0,2,6,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,5,4,6,3,5,2,3,3,5,6,3,2,3,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,3,0,1,2,0,4,2,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,5,4,3,5,5,3,5,0,2,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
openvsp,6,5,6,6,6,5,6,3,5,6,5,6,4,4,6,4,3,6,4,5,4,4,3,3,2,2,3,3,3,5,1,2,1,0,1,1,4,3,1,2,3,0,1,3,3,2,3,2,2,1,3,2,1,2,2,1,3,0,1,1,2,1,2,0,0,2,1,0,2,1,1,1,2,2,2,3,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,3,3,3,3,2,2,4,2,4,1,1,5,2,1,1,1,1,1,1,3,3,0,0,2,3,3,4,2,1,1,0,1,2,0,2,2,3,2,0,1,3,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,6,4,1,2,6,3,1,3,2,1,2,0,3,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2,3,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,5,6,6,4,1,0,0,0,2,1,5,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
cypher,5,5,5,5,4,4,5,5,4,5,4,3,5,3,5,4,4,4,4,3,4,4,5,3,4,2,1,4,2,2,4,3,4,2,2,2,2,2,4,2,1,2,2,3,3,2,1,2,3,1,0,3,2,1,2,1,0,2,1,2,1,2,3,2,1,2,0,1,3,1,1,1,1,1,1,0,2,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,4,0,1,2,2,4,2,0,2,1,1,2,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,5,5,4,2,3,3,2,3,3,2,3,1,0,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,3,4,3,1,0,1,2,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,3,3,3,2,3,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xquery,5,5,5,5,3,2,4,3,5,4,4,5,5,3,4,3,2,4,4,3,2,3,2,3,2,1,1,1,2,4,2,2,2,3,1,2,0,1,2,1,1,0,2,2,2,1,0,2,3,2,0,3,2,0,0,1,0,1,0,1,0,1,2,2,1,1,0,0,1,2,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,5,1,2,2,3,2,0,0,2,2,1,1,0,2,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,2,2,2,2,1,3,3,0,2,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,5,5,1,1,2,2,1,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
